time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.025052,-385.17,-1517.08,-837.74
0.101664,-385.17,-1517.08,-837.74
0.129377,-385.17,-1517.08,-837.74
0.222599,0.00,0.00,0.00
0.251853,-195.09,-851.79,206.53
0.274814,169.95,-1584.95,673.77
0.299697,-165.02,-1825.60,835.19
0.322516,-1637.73,-2208.08,807.68
0.356186,-1601.17,-2121.61,592.95
0.379340,-573.01,-2187.53,541.16
0.411179,-156.89,-2126.96,310.13
0.433524,-453.11,-2244.45,114.93
0.464747,-554.58,-2237.52,-170.89
0.491763,-601.26,-2205.91,-420.26
0.517077,-509.50,-2155.11,-647.35
0.545103,-133.78,-2082.62,-893.55
0.569566,73.06,-2020.90,-1109.33
0.593613,-65.36,-2112.13,-1357.59
0.616610,-162.32,-2168.04,-1591.20
0.641334,-171.83,-2159.81,-1829.86
0.664607,-214.22,-2162.58,-2061.72
0.687879,-214.95,-2140.61,-2286.93
0.735917,111.81,-1964.52,-2735.75
0.767658,277.11,-1794.81,-2999.82
0.816228,406.67,-1593.02,-3335.28
0.840038,112.34,-1718.30,-3342.49
0.866131,-67.61,-1752.25,-3298.65
1.183747,0.00,0.00,0.00
1.237959,1247.56,1080.89,-1567.31
1.267400,940.64,825.67,-1872.37
1.293887,767.80,639.67,-1616.10
1.318501,743.90,575.18,-1325.22
1.344083,766.86,544.62,-1058.88
1.370383,724.47,502.49,-915.42
1.665390,0.00,0.00,0.00
1.688581,693.13,340.86,-443.30
1.712741,1391.97,639.56,-998.69
1.737600,1378.06,636.17,-1430.09
