time_s,kf_x,kf_y,kf_z
0.000000,187.97,2000.99,-585.06
0.022186,167.90,1945.07,-566.78
0.049801,277.22,1817.01,-510.06
0.077272,309.72,1734.30,-458.60
0.099146,293.19,1675.68,-424.01
0.126346,281.90,1612.70,-396.05
0.149689,262.92,1559.59,-378.36
0.172996,242.39,1505.67,-366.62
0.194654,152.34,1444.35,-358.64
0.224118,81.43,1371.04,-357.71
0.245585,33.96,1316.98,-363.74
0.267685,-1.40,1261.59,-375.04
0.289398,-30.94,1206.61,-391.42
0.309941,-54.93,1153.93,-412.13
0.336214,-82.05,1090.82,-443.01
0.358574,-98.97,1038.63,-475.52
0.389482,-115.05,974.28,-524.00
0.411946,-124.92,928.67,-564.95
0.433980,-93.70,888.99,-611.91
0.454502,-71.27,851.71,-660.38
0.476855,-59.34,809.62,-717.41
0.524421,-59.26,720.96,-851.48
0.546845,-63.26,683.67,-920.39
0.568644,-66.29,649.20,-990.74
0.637028,-79.46,538.33,-1174.85
0.660442,-139.19,476.42,-1176.76
0.692385,-211.18,414.99,-857.24
0.713331,-238.53,373.02,-840.65
0.736971,-234.00,345.36,-801.35
0.761040,-254.98,301.02,-757.66
0.783464,-189.11,295.73,-703.19
0.814112,-150.79,279.40,-658.72
0.836538,-152.97,250.09,-635.31
0.860497,-146.18,223.46,-617.41
0.883011,-202.36,154.41,-611.20
0.912987,-244.58,89.97,-609.54
