time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.023758,-109.14,-1307.42,-838.74
0.051007,281.23,-2417.73,-1916.45
0.078301,344.75,-2673.72,-2578.23
0.104953,37.90,-2619.96,-3094.41
0.131617,-24.82,-2615.38,-3399.20
0.155378,9.48,-2790.16,-2900.69
0.181781,25.37,-2742.06,-2418.24
0.207842,0.00,0.00,0.00
0.229954,208.65,-827.61,253.47
0.252530,114.93,-1513.73,777.74
0.275325,-73.36,-1772.41,1062.85
0.297803,-63.27,-1840.25,1098.27
0.319475,53.11,-1902.42,1038.19
0.342447,107.18,-1918.23,890.20
0.366513,144.50,-1915.09,696.24
0.398196,85.68,-1849.07,391.97
0.419551,63.93,-1968.65,195.92
0.449680,83.77,-1975.85,-93.44
0.475245,117.07,-1947.02,-338.55
0.499458,104.78,-1925.25,-574.35
0.523912,127.73,-1885.00,-808.23
0.547959,127.44,-1853.51,-1041.39
0.571958,132.01,-1820.06,-1269.44
0.629387,114.68,-1831.39,-1849.89
0.652540,105.64,-1818.10,-2082.45
0.675271,101.73,-1797.61,-2307.58
0.699596,90.29,-1766.20,-2541.29
0.721648,97.27,-1738.03,-2752.39
0.744957,99.25,-1704.17,-2972.21
0.769058,99.19,-1661.70,-3192.58
0.794692,105.32,-1605.74,-3358.81
0.819773,115.56,-1544.37,-3416.18
0.844127,121.44,-1489.29,-3386.64
0.868459,0.00,0.00,0.00
0.892042,282.67,-428.89,144.19
0.915377,122.68,-991.63,403.56
0.938586,92.39,-1194.29,538.29
