time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.022267,574.94,-1992.37,-778.89
0.043985,1722.53,-4305.26,-1829.93
0.066761,2591.97,-5232.86,-1715.15
0.089157,2831.64,-5359.65,-1055.49
0.113649,4301.71,-6114.80,-131.90
0.142458,4170.19,-5759.82,253.30
0.164397,3814.09,-5410.86,418.22
0.190415,3485.44,-5065.79,418.95
0.211416,3166.62,-4790.19,381.87
0.232454,2905.70,-4573.08,300.19
0.253403,2663.60,-4387.90,186.57
0.274990,2438.94,-4213.84,47.68
0.302174,2228.99,-3998.08,-152.63
0.323747,1629.60,-3914.98,-364.16
0.353670,1158.09,-3763.94,-641.62
0.376670,852.60,-3647.11,-845.65
0.401118,667.75,-3540.41,-1058.11
0.422547,568.38,-3470.78,-1241.46
0.443812,540.60,-3435.02,-1424.69
0.466097,567.91,-3397.37,-1614.44
0.486638,627.49,-3381.43,-1790.40
