time_s,kf_x,kf_y,kf_z
0.000000,-7.77,2515.04,-689.31
0.022008,-7.77,2515.04,-689.31
0.054291,-7.77,2515.04,-689.31
0.076133,-7.77,2515.04,-689.31
0.100508,-7.77,2515.04,-689.31
0.145863,-103.33,1984.48,-949.48
0.175863,-91.16,1922.90,-918.44
0.197487,-79.61,1864.04,-867.41
0.216524,-75.70,1802.17,-816.09
0.239940,-74.93,1738.69,-765.54
0.260895,-78.50,1681.65,-724.78
0.287162,-89.52,1618.76,-687.82
0.308679,-92.78,1563.53,-662.31
0.329405,-89.26,1508.97,-640.93
0.352011,-85.62,1451.73,-624.14
0.372624,-89.38,1397.66,-613.89
0.400892,-87.24,1332.02,-607.23
0.421034,-148.49,1270.03,-614.01
0.451272,-202.43,1190.67,-627.65
0.471806,-237.40,1134.97,-643.21
0.500499,-261.67,1065.49,-667.24
0.521542,-276.77,1014.48,-691.00
0.542298,-284.90,962.59,-718.96
0.566084,-290.16,905.86,-754.73
0.588708,-289.95,853.78,-793.24
0.612332,-245.40,804.94,-838.21
0.640843,-202.22,753.03,-895.08
0.662588,-168.68,715.74,-942.59
0.689726,-141.34,669.89,-1007.04
0.712261,-120.30,633.92,-1065.07
0.735627,-104.30,596.40,-1123.21
0.757779,-136.71,533.81,-1161.38
0.789895,-161.10,463.02,-1208.66
0.834383,-58.07,438.00,-839.62
0.864551,-64.86,400.05,-829.70
0.885521,-74.72,356.26,-812.81
0.913002,-59.49,322.62,-790.83
0.933320,-133.18,226.35,-786.18
0.964052,-177.61,145.41,-785.08
0.986416,-186.29,100.42,-785.50
1.012646,-145.87,75.82,-785.86
