time_s,kf_x,kf_y,kf_z
0.000000,439.46,2209.03,-598.95
0.028204,480.96,2105.41,-575.97
0.050592,297.94,2055.36,-526.99
0.083657,216.99,1952.44,-467.91
0.106387,349.01,1783.81,-424.30
0.137303,414.05,1640.27,-387.86
0.158958,446.76,1542.28,-367.74
0.181146,464.56,1447.06,-353.23
0.202990,474.64,1356.51,-344.71
0.228767,388.61,1229.62,-334.20
0.264135,322.35,1086.17,-333.90
0.295641,359.96,980.26,-350.72
0.321916,387.67,897.59,-371.69
0.346470,334.50,776.23,-397.12
0.375624,292.55,651.61,-433.66
0.400153,334.80,578.70,-474.63
0.686399,-287.64,111.53,-104.52
0.718453,-288.16,107.50,-110.49
0.936432,-322.90,76.71,-114.06
0.958970,-318.78,82.65,-113.05
0.981428,-305.65,96.96,-112.27
1.004444,-311.39,98.32,-108.05
1.059317,-353.64,91.05,-91.24
