time_s,corr_x,corr_y,corr_z
0.000000,438.12,2281.53,-932.30
0.068154,454.66,2068.66,-1173.54
0.143547,569.99,1864.73,-899.22
0.165692,565.61,1825.07,-842.80
0.190643,571.93,1782.65,-793.14
0.212816,577.74,1740.04,-746.26
0.234711,574.11,1701.91,-708.92
0.255809,486.36,1663.00,-676.86
0.284788,492.33,1618.54,-644.72
0.309357,494.02,1574.02,-622.98
0.334265,491.95,1534.78,-605.75
0.356445,498.61,1491.80,-594.74
0.376511,503.18,1451.71,-586.46
0.397183,579.39,1390.42,-579.03
0.429865,590.09,1355.71,-583.58
0.451406,571.30,1312.37,-598.16
0.477841,585.28,1279.65,-608.82
0.501523,588.15,1242.51,-629.07
0.524243,581.46,1205.93,-652.64
0.546225,513.64,1136.21,-714.30
0.576045,512.21,1098.09,-754.66
0.605804,514.99,1062.42,-794.18
0.656532,581.79,997.06,-899.19
0.702617,531.81,895.62,-1069.07
0.776918,522.74,801.93,-1082.79
0.799005,586.10,794.52,-981.06
0.830082,589.30,770.30,-934.68
0.854243,588.43,744.24,-895.39
0.881657,598.31,722.65,-860.39
0.907260,584.26,689.77,-837.32
0.929888,524.67,617.30,-824.83
0.959569,502.47,586.64,-818.29
1.389639,-360.40,94.65,-66.37
