time_s,raw_x,raw_y,raw_z
0.000000,38.57,2566.91,-871.62
0.029699,93.67,2453.03,-913.22
0.052275,82.35,2381.02,-976.05
0.075109,122.47,2273.65,-1028.23
0.097059,107.25,2204.82,-1028.70
0.118408,113.82,2126.54,-976.60
0.142064,131.83,2054.01,-930.77
0.163194,-66.12,2022.65,-940.10
0.192699,-56.90,1943.03,-901.40
0.213414,5.29,1846.44,-857.31
0.240068,0.82,1775.53,-834.38
0.260772,19.22,1697.24,-810.30
0.281969,37.07,1624.95,-790.77
0.305577,22.58,1545.60,-783.60
0.327325,48.10,1474.17,-772.06
0.361633,265.95,1365.12,-729.35
0.385915,290.59,1304.30,-728.77
0.406594,279.06,1235.73,-740.12
0.429136,301.33,1176.05,-748.32
0.450105,314.39,1113.15,-763.34
0.471206,319.24,1050.04,-783.07
0.493272,331.08,989.02,-806.07
0.514664,345.56,928.89,-833.45
0.540976,355.86,868.76,-862.84
0.561520,211.78,706.92,-978.93
0.593261,211.55,635.02,-1025.93
0.614389,236.32,576.82,-1071.74
0.641379,249.42,512.21,-1124.31
0.663634,267.13,463.59,-1105.17
0.685398,271.10,412.61,-1061.06
0.707064,289.35,366.22,-1010.83
