time_s,kf_x,kf_y,kf_z
0.000000,-245.50,2626.74,-613.94
0.047023,-277.66,2466.33,-715.88
0.135290,-277.66,2466.33,-715.88
0.159612,-277.66,2466.33,-715.88
0.180802,-599.44,2064.60,-888.90
0.209537,-598.96,2001.27,-858.23
0.230570,-606.71,1940.44,-801.78
0.257321,-463.11,1819.77,-707.53
0.286278,-371.95,1725.78,-633.11
0.306833,-346.54,1665.38,-586.70
0.332792,-357.69,1605.39,-546.19
0.354117,-353.60,1550.37,-518.09
0.375602,-357.16,1495.68,-496.33
0.398882,-361.34,1438.03,-479.13
0.419165,-362.90,1386.60,-468.29
0.454447,-368.86,1309.93,-459.76
0.475861,-380.55,1266.57,-461.39
0.496790,-386.94,1221.73,-466.97
0.518526,-467.59,1157.04,-480.95
0.547278,-538.23,1081.48,-503.83
0.570408,-587.23,1022.61,-528.73
0.595648,-555.24,967.12,-559.84
0.622418,-541.62,909.85,-598.64
0.644305,-521.31,866.53,-635.31
0.666294,-509.49,821.98,-676.78
0.689170,-500.99,776.62,-723.80
0.711823,-493.98,732.33,-774.86
0.735172,-486.48,689.14,-831.33
0.777844,-490.23,604.83,-951.73
0.801185,-492.58,564.55,-1021.95
0.823785,-493.82,525.62,-1091.14
0.848438,-495.61,486.69,-1145.31
0.870234,-495.76,455.30,-1170.88
0.893484,-489.29,448.05,-906.45
0.914111,-619.60,346.92,-891.56
0.945737,-649.12,296.67,-850.78
0.968292,-668.49,257.93,-813.23
0.989637,-656.14,233.01,-776.93
1.011760,-658.25,199.36,-747.70
1.057834,-589.81,161.14,-699.69
1.086708,-556.04,138.61,-680.90
1.358206,-589.41,-209.88,-932.95
1.380846,-703.27,-326.24,-979.59
