time_s,raw_x,raw_y,raw_z
0.000000,-245.50,2626.74,-613.94
0.047023,-279.38,2457.75,-765.74
0.135290,-353.75,2150.01,-1022.88
0.159612,-369.38,2092.96,-948.41
0.180802,-599.44,2064.60,-888.90
0.209537,-598.91,1994.65,-821.07
0.230570,-609.22,1929.57,-757.27
0.257321,-413.59,1799.34,-653.94
0.286278,-367.92,1728.79,-610.38
0.306833,-375.27,1672.55,-572.98
0.332792,-430.82,1628.89,-546.62
0.354117,-393.25,1561.31,-518.82
0.375602,-406.08,1507.14,-500.86
0.398882,-409.26,1451.74,-486.37
0.419165,-397.69,1395.45,-473.96
0.454447,-419.04,1342.02,-469.44
0.475861,-421.62,1289.12,-468.97
0.496790,-414.12,1237.29,-473.29
0.518526,-654.32,1132.13,-498.19
0.547278,-661.05,1075.74,-516.20
0.570408,-652.41,1022.89,-539.84
0.595648,-432.74,985.98,-564.45
0.622418,-479.58,929.18,-599.71
0.644305,-457.89,887.72,-635.15
0.666294,-473.22,838.24,-676.25
0.689170,-477.51,793.34,-718.93
0.711823,-477.55,747.77,-768.19
0.735172,-471.68,708.12,-819.38
0.777844,-503.64,617.39,-946.03
0.801185,-498.71,580.86,-1007.92
0.823785,-497.00,539.83,-1063.92
0.848438,-499.44,507.12,-1016.94
0.870234,-495.57,477.49,-959.69
0.893484,-489.29,448.05,-906.45
0.914111,-638.41,332.32,-866.46
0.945737,-641.10,298.62,-822.85
0.968292,-664.40,257.58,-790.91
0.989637,-633.01,240.25,-753.22
1.011760,-650.09,199.27,-730.15
1.057834,-535.62,180.86,-674.82
1.086708,-536.17,150.26,-668.35
1.358206,-589.41,-209.88,-932.95
1.380846,-718.45,-341.76,-1039.84
