time_s,kf_x,kf_y,kf_z
0.000000,422.99,2198.25,-349.85
0.023750,451.91,2113.54,-365.99
0.048956,462.51,2027.32,-402.27
0.072973,294.13,1978.55,-461.82
0.106127,230.88,1891.65,-533.08
0.278675,294.25,1189.09,-1109.43
0.300640,293.40,1120.89,-1141.15
0.373377,448.22,956.37,-962.17
0.399371,467.24,900.32,-888.19
0.423483,471.57,847.68,-836.33
0.447429,478.20,797.73,-792.21
0.471347,480.51,748.80,-756.16
0.494487,479.84,699.25,-724.78
0.518718,479.21,650.11,-698.69
0.543468,430.17,562.04,-682.09
1.045231,-329.39,102.49,-84.61
1.076766,-333.26,99.66,-86.95
