time_s,kf_x,kf_y,kf_z
0.000000,407.92,2172.75,-395.16
0.024486,397.46,2113.11,-414.96
0.050973,232.51,2080.00,-479.36
0.074760,156.22,2024.45,-550.91
0.097406,252.03,1893.75,-624.94
0.150297,184.87,1710.38,-821.94
0.283709,322.82,1352.68,-1019.23
0.306122,308.49,1317.85,-997.46
0.328402,217.12,1251.94,-945.18
0.360170,176.42,1193.19,-875.70
0.382247,163.86,1150.70,-825.25
0.407779,169.31,1106.07,-771.45
0.429951,161.57,1063.62,-732.00
0.452860,162.40,1022.97,-697.31
0.475903,160.72,979.63,-667.30
0.501063,197.79,939.97,-636.12
0.542527,233.74,885.79,-608.40
0.571461,256.90,838.85,-596.51
0.596213,264.37,797.48,-594.22
0.621152,270.91,758.08,-598.25
0.645009,273.66,720.56,-607.99
0.668293,242.20,662.66,-627.71
0.696086,215.31,602.45,-656.78
0.721162,201.23,555.91,-687.63
0.746913,190.85,512.63,-723.98
0.779896,204.61,471.68,-777.84
0.809833,216.82,439.49,-831.45
0.866504,225.28,361.59,-967.39
0.890613,210.47,310.19,-1042.71
0.924637,195.93,252.09,-1148.12
1.414191,184.40,406.59,-1175.39
1.443185,208.03,416.16,-1175.36
1.466177,168.56,386.88,-1189.85
1.496301,146.18,358.44,-1204.32
1.519049,128.97,323.68,-1217.25
