time_s,raw_x,raw_y,raw_z
0.000000,-291.13,2781.78,-1013.31
0.022267,-258.28,2667.96,-1083.03
0.043985,-200.40,2538.88,-1148.08
0.066761,-119.18,2406.09,-1110.56
0.089157,-53.82,2292.52,-1033.94
0.113649,189.55,2071.97,-898.28
0.142458,217.46,1992.26,-859.53
0.164397,241.04,1915.89,-824.08
0.190415,294.68,1825.85,-789.87
0.211416,315.35,1755.89,-765.50
0.232454,348.86,1680.67,-743.40
0.253403,373.35,1608.64,-728.64
0.274990,398.90,1539.31,-716.63
0.302174,440.53,1466.57,-706.02
0.323747,279.20,1355.84,-748.29
0.353670,309.77,1278.05,-749.58
0.376670,336.39,1199.91,-756.93
0.401118,366.83,1123.15,-768.51
0.422547,391.64,1046.87,-785.61
0.443812,422.36,967.68,-807.83
0.466097,456.49,897.15,-830.63
0.486638,487.84,822.55,-861.38
