time_s,kf_x,kf_y,kf_z
0.000000,-81.73,2407.51,-1037.37
0.021620,-66.35,2291.41,-1083.98
0.093083,-66.35,2291.41,-1083.98
0.121613,-66.35,2291.41,-1083.98
0.144555,265.96,1748.74,-687.40
0.171789,267.52,1692.48,-667.57
0.193837,271.26,1629.92,-627.56
0.215659,284.42,1560.37,-583.37
0.237066,179.32,1476.66,-542.76
0.268613,135.60,1384.30,-503.34
0.290176,125.32,1318.67,-478.93
0.311719,122.41,1250.34,-460.38
0.333197,119.33,1180.54,-447.46
0.354851,130.26,1111.07,-439.62
0.381260,142.83,1032.48,-437.45
0.403402,149.51,965.15,-441.26
0.425021,220.35,909.04,-450.71
0.456734,283.88,835.17,-471.30
0.478420,327.28,786.61,-491.59
0.500038,360.65,737.15,-516.52
0.522171,391.76,688.20,-546.35
0.543810,410.80,636.95,-581.19
0.571937,429.97,574.86,-630.31
0.595257,440.54,525.46,-676.29
