time_s,kf_x,kf_y,kf_z
0.000000,604.48,2108.15,-762.09
0.024474,644.10,2042.61,-735.96
0.045160,650.37,1989.55,-692.47
0.072437,652.74,1925.70,-640.19
0.094435,587.92,1881.15,-600.29
0.124626,548.57,1823.78,-563.60
0.146908,537.78,1770.86,-540.09
0.173329,540.74,1706.59,-519.76
0.194319,539.12,1654.26,-509.00
0.215827,542.57,1597.60,-502.25
0.236269,546.79,1542.57,-500.10
0.257678,550.74,1484.75,-503.09
0.282695,592.11,1413.13,-511.47
0.311222,626.29,1341.22,-528.25
0.332713,648.13,1287.15,-547.34
0.359231,670.51,1228.26,-575.08
0.390453,687.95,1165.42,-614.25
0.412340,667.04,1108.29,-656.97
0.433602,650.24,1054.84,-702.25
0.458690,638.33,995.34,-759.64
0.480161,632.63,947.45,-813.49
