time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.024474,792.60,-1310.99,341.24
0.045160,493.95,-2075.57,865.20
0.072437,262.27,-2226.58,1066.87
0.094435,-895.50,-2153.89,1076.68
0.124626,-1049.58,-2058.07,863.65
0.146908,-914.17,-2133.96,701.37
0.173329,-660.89,-2207.68,480.55
0.194319,-555.72,-2259.10,293.65
0.215827,-431.81,-2324.05,99.37
0.236269,-331.48,-2381.87,-88.59
0.257678,-249.41,-2432.63,-292.34
0.282695,94.45,-2510.36,-527.49
0.311222,317.43,-2512.46,-796.45
0.332713,423.11,-2512.95,-1005.92
0.359231,501.42,-2458.56,-1255.49
0.390453,513.92,-2360.86,-1541.32
0.412340,287.50,-2399.28,-1783.70
0.433602,125.33,-2416.54,-2013.33
0.458690,18.47,-2408.57,-2274.78
0.480161,-24.87,-2381.38,-2496.46
