time_s,kf_x,kf_y,kf_z
0.000000,57.74,2524.82,-681.75
0.033781,114.65,2400.03,-714.30
0.057535,134.76,2292.77,-777.36
0.084541,165.55,2167.31,-855.47
0.204115,165.55,2167.31,-855.47
0.225897,282.65,1567.42,-975.86
0.257454,300.92,1513.09,-947.34
0.279822,307.98,1457.58,-900.17
0.305158,309.77,1395.13,-850.57
0.327587,315.42,1337.88,-808.40
0.350130,406.74,1271.77,-751.96
0.379865,463.16,1204.88,-707.81
0.403057,433.00,1130.11,-687.98
0.435294,417.17,1049.72,-673.15
0.457995,400.47,993.79,-670.42
0.484934,399.03,934.01,-671.93
0.517727,449.15,876.77,-676.47
0.546055,485.08,831.59,-688.80
0.571064,468.16,762.34,-716.37
0.595212,462.54,702.89,-746.77
0.619686,463.34,648.28,-781.05
0.642881,493.56,607.37,-817.95
