time_s,raw_x,raw_y,raw_z
0.000000,-43.80,2191.79,-982.52
0.021735,-29.37,2132.53,-914.80
0.049249,149.60,1980.80,-782.24
0.078637,186.09,1916.23,-722.66
0.100660,202.19,1861.50,-676.98
0.126356,234.41,1800.48,-633.37
0.148838,266.97,1738.07,-595.56
0.171266,287.03,1683.30,-564.76
0.192122,172.78,1623.59,-542.00
0.224356,204.51,1560.46,-521.88
0.245784,220.63,1501.27,-506.46
0.272152,406.19,1407.12,-487.63
0.301882,424.72,1356.12,-486.59
0.323569,441.87,1305.74,-492.48
0.349493,476.39,1252.76,-503.66
0.371616,368.55,1154.57,-537.72
0.409975,378.68,1096.73,-563.51
0.431624,550.23,1053.47,-589.26
0.453442,568.13,1004.45,-622.35
0.478282,574.79,950.44,-670.80
0.499822,614.91,911.66,-701.71
0.546039,629.49,816.97,-806.97
