time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.023177,388.22,-1248.85,-1051.43
0.091356,1960.39,-2610.75,842.23
0.114403,2412.54,-2965.81,1489.68
0.142427,2313.45,-2837.84,1604.93
0.167323,2038.62,-2609.91,1572.88
0.190775,1791.48,-2417.25,1486.04
0.212469,1644.85,-2295.08,1382.47
0.233507,1505.43,-2190.27,1267.08
0.254850,1393.45,-2109.20,1128.10
0.276052,1259.19,-2022.81,975.21
0.301627,1196.38,-1961.01,766.64
0.323159,937.50,-1861.70,600.49
0.353402,0.00,0.00,0.00
0.374385,253.35,-603.71,-124.53
0.402257,506.57,-1177.75,-242.74
0.424172,628.49,-1401.59,-368.58
0.444731,1736.47,-2000.29,-571.63
0.477427,1735.68,-1925.77,-853.72
0.500267,1621.04,-1843.63,-1048.75
0.521400,1554.82,-1799.12,-1235.37
0.543637,1377.76,-1739.07,-1448.78
0.566370,1247.87,-1683.29,-1660.31
0.591443,1152.90,-1626.57,-1884.71
0.614422,1051.26,-1568.41,-2091.48
0.639113,938.30,-1503.08,-2309.52
0.661016,705.58,-1472.60,-2560.98
0.691544,566.65,-1406.15,-2847.84
0.838910,0.00,0.00,0.00
0.865634,167.62,-448.02,307.48
0.887678,263.20,-925.10,917.77
0.914240,1361.74,-1206.15,1512.42
0.941871,1255.85,-1153.54,1504.80
0.963874,1037.71,-1171.41,1392.99
0.992184,948.81,-1116.01,1157.31
1.016122,860.26,-1084.42,935.40
1.040303,748.86,-1075.15,699.93
1.063956,493.23,-1142.06,460.70
1.091404,332.84,-1168.46,181.76
1.114864,265.53,-1174.56,-50.30
1.137660,375.54,-1161.15,-265.43
1.170777,443.15,-1120.33,-579.92
1.196593,475.25,-1082.76,-821.70
1.221803,366.18,-1124.87,-1081.20
1.244822,293.18,-1146.33,-1317.13
1.267826,240.71,-1154.72,-1546.67
1.291654,195.58,-1155.23,-1783.06
1.313827,330.72,-1112.22,-2003.11
1.342678,411.96,-1060.52,-2274.83
1.412397,451.62,-959.43,-2927.53
1.456159,446.61,-894.16,-3270.15
1.486072,493.49,-814.13,-3362.25
1.510271,313.42,-960.67,-3419.77
1.531303,273.30,-1007.68,-3422.94
1.553862,242.80,-1032.57,-3425.34
1.575630,247.24,-1037.34,-3399.97
1.602140,225.84,-1046.96,-3392.64
1.623499,230.92,-1048.19,-3331.78
1.645583,186.13,-1070.60,-3285.83
