time_s,kf_x,kf_y,kf_z
0.000000,341.20,2253.45,-333.95
0.033866,89.80,2263.59,-350.69
0.056673,38.06,2194.37,-383.42
0.079933,38.06,2194.37,-383.42
0.109799,38.06,2194.37,-383.42
0.132586,38.06,2194.37,-383.42
0.177065,301.08,1624.03,-653.52
0.198646,92.26,1535.17,-710.41
0.228194,62.23,1443.17,-814.24
0.301718,59.87,1198.70,-1078.84
0.328591,188.58,1115.81,-1138.87
0.380956,141.58,941.00,-1161.90
0.405701,119.65,871.20,-1115.72
0.428479,95.78,826.84,-886.77
0.453121,107.19,783.96,-867.65
0.476643,100.95,727.71,-827.89
0.499535,92.91,667.71,-785.55
0.522283,98.35,615.86,-749.86
0.544289,185.76,592.56,-706.20
0.573352,239.87,554.97,-672.58
0.595908,257.63,516.18,-655.44
0.619115,267.35,473.58,-645.94
0.640904,268.69,429.13,-643.57
