time_s,raw_x,raw_y,raw_z
0.000000,-93.52,2604.54,-1192.05
0.033133,-27.90,2437.94,-1138.76
0.055284,-26.87,2311.72,-1110.08
0.083525,13.31,2177.08,-1076.96
0.106038,-4.94,2065.86,-1068.74
0.128069,309.42,1805.48,-937.43
0.157681,316.08,1710.07,-932.95
0.178801,317.63,1617.32,-936.04
0.200604,318.09,1525.96,-942.16
0.221776,306.34,1437.83,-958.46
0.241708,330.58,1345.16,-963.26
0.269263,315.90,1257.45,-992.47
0.311242,328.13,1082.13,-1052.54
0.332193,325.88,1001.60,-1047.55
0.380457,324.12,846.47,-994.60
0.400864,100.39,631.09,-1065.45
0.440087,135.25,565.14,-1047.18
0.461158,312.93,548.46,-978.48
0.492582,327.44,483.29,-977.43
0.513645,132.10,238.73,-1076.24
