time_s,kf_x,kf_y,kf_z
0.000000,-484.11,2836.95,-547.32
0.021373,-495.80,2734.29,-574.93
0.049139,-495.80,2734.29,-574.93
0.076729,-495.80,2734.29,-574.93
0.098026,-495.80,2734.29,-574.93
0.125642,-495.80,2734.29,-574.93
0.169270,-95.23,1866.45,-995.04
0.190186,-121.75,1801.58,-1012.96
0.210948,-132.64,1738.55,-999.37
0.256833,-345.16,1589.51,-919.84
0.287015,-401.43,1506.46,-857.26
0.306708,-410.65,1445.25,-810.72
0.336571,-417.79,1364.82,-762.52
0.357489,-424.47,1303.30,-729.35
0.379052,-419.47,1239.43,-698.85
0.400998,-421.14,1172.49,-673.54
0.422728,-420.22,1105.60,-653.44
0.447562,-344.29,1035.57,-630.65
0.476406,-276.03,964.03,-616.10
0.496528,-228.01,913.25,-609.31
0.524677,-197.15,845.00,-611.41
0.545617,-168.75,796.15,-617.06
0.567037,-150.73,745.33,-628.77
0.589037,-135.31,693.47,-645.74
0.611883,-130.70,638.12,-669.00
0.637860,-121.25,580.58,-700.46
0.659714,-177.49,497.66,-742.82
0.689855,-219.57,406.86,-801.78
0.711191,-249.68,344.55,-849.24
0.801735,-292.49,119.23,-1092.69
0.825075,-309.46,71.60,-1145.36
0.849052,-258.93,58.03,-1153.93
0.877569,-165.24,96.10,-900.41
0.898966,-182.03,51.55,-884.96
0.925661,-193.42,7.56,-850.79
