time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.021373,-231.12,-2028.90,-710.95
0.049139,-231.12,-2028.90,-710.95
0.076729,-231.12,-2028.90,-710.95
0.098026,-231.12,-2028.90,-710.95
0.125642,-231.12,-2028.90,-710.95
0.169270,0.00,0.00,0.00
0.190186,-522.18,-1277.32,-515.85
0.210948,-523.86,-2400.21,-198.00
0.256833,-3487.87,-3012.09,558.97
0.287015,-2896.99,-2917.37,744.15
0.306708,-2382.62,-2957.73,838.70
0.336571,-1784.02,-2883.93,747.60
0.357489,-1518.29,-2894.28,674.51
0.379052,-1209.78,-2906.19,576.28
0.400998,-1015.67,-2930.87,448.22
0.422728,-842.29,-2955.02,304.42
0.447562,-133.51,-2930.42,154.81
0.476406,382.03,-2837.62,-59.53
0.496528,668.23,-2792.79,-210.40
0.524677,753.28,-2719.63,-452.08
0.545617,842.39,-2662.46,-631.55
0.567037,842.27,-2618.51,-824.36
0.589037,820.24,-2577.79,-1025.39
0.611883,719.93,-2552.63,-1238.26
0.637860,654.24,-2490.35,-1476.79
0.659714,153.53,-2692.67,-1722.38
0.689855,-177.83,-2761.08,-2028.41
0.711191,-364.75,-2785.17,-2245.47
0.801735,-440.91,-2575.97,-3133.39
0.825075,-493.44,-2477.84,-3263.55
0.849052,-1.25,-2116.12,-3185.21
0.877569,0.00,0.00,0.00
0.898966,-331.80,-880.43,139.98
0.925661,-400.04,-1432.06,497.34
