time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.024486,-209.11,-1193.05,-577.39
0.050973,-4386.80,-1232.49,-1640.52
0.074760,-3821.24,-1761.33,-2292.13
0.097406,-892.22,-3220.15,-2743.06
0.150297,-1095.26,-3352.85,-3568.78
0.283709,0.00,0.00,0.00
0.306122,-284.88,-692.56,261.97
0.328402,-2772.54,-2169.61,973.28
0.360170,-1868.61,-1975.52,1263.12
0.382247,-1431.29,-1958.40,1332.39
0.407779,-909.53,-1891.63,1302.06
0.429951,-775.55,-1897.15,1193.88
0.452860,-597.28,-1870.14,1043.53
0.475903,-491.98,-1872.31,875.71
0.501063,-94.42,-1812.42,704.57
0.542527,198.18,-1658.53,335.14
0.571461,322.03,-1651.12,82.61
0.596213,318.54,-1654.61,-144.95
0.621152,308.69,-1641.55,-377.72
0.645009,276.18,-1629.99,-602.80
0.668293,8.65,-1770.79,-844.02
0.696086,-183.40,-1848.64,-1124.24
0.721162,-250.60,-1849.97,-1368.50
0.746913,-278.42,-1819.04,-1612.48
0.779896,-115.86,-1684.14,-1917.51
0.809833,-4.92,-1555.12,-2178.83
0.866504,57.61,-1481.89,-2721.76
0.890613,-59.69,-1595.41,-2985.50
0.924637,-150.71,-1623.19,-3311.90
1.414191,0.00,0.00,0.00
1.443185,467.62,189.35,-202.28
1.466177,-871.87,-707.73,-553.26
1.496301,-798.82,-841.79,-761.85
1.519049,-784.22,-1077.16,-909.17
