time_s,kf_x,kf_y,kf_z
0.000000,4.82,2594.15,-1151.36
0.031135,-10.01,2593.32,-1156.83
0.054024,-7.54,2584.33,-1160.12
0.077847,-9.53,2578.90,-1164.32
0.100801,-17.29,2576.86,-1170.38
0.122980,-15.80,2568.55,-1173.55
0.144447,-0.83,2549.63,-1173.01
0.173328,7.95,2534.35,-1178.73
0.194895,15.23,2523.17,-1180.63
0.242761,18.47,2505.72,-1202.56
0.264358,15.75,2500.41,-1203.33
0.287359,14.23,2494.41,-1209.23
0.337829,8.14,2481.57,-1245.41
0.359949,-4.56,2481.97,-1248.58
0.392105,-8.43,2475.24,-1265.43
0.419048,-4.45,2464.85,-1273.48
0.452454,-0.20,2453.87,-1291.51
0.478338,-4.87,2449.07,-1299.87
0.520070,-7.06,2437.19,-1332.98
0.572916,1.04,2415.87,-1373.30
0.595384,5.68,2405.25,-1355.30
0.621965,7.91,2395.86,-1352.68
0.643405,9.77,2388.38,-1344.65
0.665482,12.11,2380.39,-1342.06
0.687360,11.53,2373.79,-1342.02
0.708816,6.05,2369.26,-1343.95
0.739654,2.15,2361.97,-1362.07
0.787175,-5.74,2352.49,-1404.45
0.809267,-9.88,2348.28,-1390.84
0.833340,-6.68,2339.14,-1383.64
0.863545,-2.81,2328.54,-1388.79
0.885681,-0.47,2320.61,-1379.17
0.910170,1.65,2313.07,-1376.57
0.932459,-2.81,2308.55,-1372.98
0.963767,-7.60,2302.21,-1385.93
0.985975,-6.84,2296.00,-1379.33
1.007942,-5.54,2288.98,-1374.55
1.030268,-6.76,2282.83,-1372.75
1.052403,-8.52,2277.44,-1371.94
1.078629,-7.14,2269.13,-1378.19
1.100060,-6.62,2262.56,-1375.23
1.122895,-7.68,2256.65,-1376.18
1.146088,-6.86,2249.54,-1377.87
1.167626,-2.77,2240.40,-1375.83
1.198350,3.15,2229.15,-1389.66
1.221779,7.78,2220.77,-1387.17
1.244340,13.00,2212.68,-1383.46
1.265944,14.69,2206.42,-1379.66
1.292637,16.02,2198.77,-1385.38
1.317726,15.77,2192.33,-1386.94
1.340326,9.04,2188.21,-1385.42
1.367778,4.14,2182.54,-1392.59
1.390177,-0.46,2178.03,-1389.44
1.412081,-1.91,2172.59,-1386.01
1.434464,-2.14,2165.99,-1384.40
1.455750,2.75,2156.60,-1380.24
1.484699,4.85,2146.87,-1390.65
1.506347,5.59,2140.15,-1386.01
1.534297,5.73,2132.59,-1393.30
1.556382,7.01,2126.05,-1388.07
1.578166,7.38,2120.13,-1383.69
1.600790,10.01,2113.09,-1381.55
1.622768,6.91,2107.89,-1380.43
1.651939,1.50,2102.36,-1392.79
1.676774,-0.43,2097.39,-1393.89
1.700212,-4.94,2093.38,-1392.73
1.723227,-7.54,2088.84,-1390.86
1.745488,-0.84,2080.00,-1386.18
1.773448,7.29,2069.30,-1391.98
1.795199,10.64,2062.11,-1385.92
1.821491,13.52,2054.20,-1389.10
1.843610,13.63,2048.32,-1384.64
1.865772,13.79,2042.45,-1381.32
1.887479,15.12,2036.25,-1377.74
1.909498,7.27,2032.08,-1377.94
1.939868,3.56,2025.24,-1391.95
1.961471,-0.91,2020.96,-1387.56
1.987363,-5.63,2016.06,-1392.03
2.008796,-7.72,2011.48,-1387.56
2.028538,-2.65,2004.09,-1379.92
2.063927,-1.41,1995.25,-1401.29
2.090708,1.29,1988.71,-1401.23
2.115149,8.24,1981.33,-1395.25
2.141746,4.98,1976.04,-1396.58
2.167936,1.63,1971.06,-1396.56
2.193595,-1.62,1966.39,-1395.63
2.217186,-3.36,1961.66,-1391.34
2.238906,-0.18,1954.40,-1384.20
2.260486,2.00,1947.54,-1378.96
2.286210,2.10,1940.53,-1382.46
2.308811,3.45,1933.95,-1379.48
2.334429,6.36,1926.55,-1382.15
2.355998,-0.16,1922.26,-1379.30
2.387767,-4.40,1916.05,-1394.40
2.410322,-7.83,1912.00,-1390.03
2.430887,-4.01,1905.58,-1382.14
2.460629,-1.06,1897.79,-1391.92
2.482494,0.44,1892.39,-1385.95
2.508889,-1.29,1887.09,-1389.72
2.530631,1.29,1882.22,-1383.65
2.552340,3.63,1877.13,-1378.88
2.573461,6.96,1872.11,-1373.91
2.594285,7.96,1867.15,-1370.42
2.621211,9.53,1860.90,-1378.24
2.644848,9.89,1855.78,-1378.78
2.666744,8.51,1851.45,-1376.82
2.690437,7.32,1846.89,-1378.51
2.711415,3.54,1842.62,-1376.02
2.739302,-1.95,1837.24,-1387.02
2.761059,-4.19,1832.38,-1384.23
2.787745,-5.47,1826.71,-1390.54
2.809764,-6.33,1821.96,-1387.20
2.830841,-3.13,1815.66,-1382.14
2.862768,0.56,1807.88,-1396.67
2.886088,3.36,1802.38,-1392.13
2.910586,6.36,1796.93,-1390.22
2.936272,2.21,1792.16,-1392.30
2.964392,-0.74,1786.90,-1397.40
2.985630,-4.28,1783.39,-1389.67
3.011931,-5.57,1778.99,-1392.28
3.033617,-5.66,1775.14,-1386.06
3.058054,-1.73,1769.49,-1385.39
3.086521,0.51,1763.68,-1391.79
3.108764,-1.04,1759.04,-1386.57
3.139856,-1.21,1753.04,-1397.40
3.162350,-1.51,1749.19,-1390.39
3.187869,-1.87,1744.88,-1390.36
3.209729,-3.34,1740.90,-1384.52
3.231193,-1.05,1735.49,-1378.94
3.260875,1.62,1729.08,-1388.46
3.282436,5.40,1724.01,-1381.03
3.309103,6.57,1718.61,-1384.58
3.330260,6.62,1714.49,-1378.06
3.352418,8.18,1710.00,-1374.63
3.374182,8.92,1705.75,-1371.88
3.396517,10.24,1700.94,-1370.78
3.423964,9.85,1695.88,-1379.07
3.446055,5.29,1692.64,-1377.15
3.475795,0.69,1688.23,-1388.97
3.497461,-1.70,1684.91,-1383.74
3.518493,-4.37,1681.51,-1379.34
3.541396,-4.44,1677.89,-1378.97
3.562185,-3.00,1674.44,-1374.93
3.587221,-3.12,1670.54,-1379.69
3.608743,-2.48,1666.98,-1377.19
3.628994,-1.02,1663.01,-1373.13
3.660038,2.15,1657.38,-1388.23
3.682724,4.49,1653.44,-1384.83
3.708495,5.94,1649.13,-1387.56
3.730764,7.88,1645.50,-1383.16
3.755804,7.39,1641.42,-1385.07
3.780120,8.06,1637.63,-1384.81
3.804142,9.59,1633.85,-1383.65
3.827592,8.44,1630.16,-1382.38
3.853137,4.62,1626.49,-1385.60
3.876112,3.41,1622.84,-1383.19
3.898364,2.34,1619.38,-1380.30
3.920156,0.60,1615.80,-1377.78
3.942357,-1.46,1612.27,-1376.92
3.963569,-2.75,1608.58,-1374.75
3.989506,-6.08,1604.32,-1382.05
4.011688,-6.36,1600.98,-1380.63
4.033611,-3.79,1596.69,-1378.62
4.061426,-1.53,1591.77,-1387.30
4.083730,-0.09,1588.10,-1384.07
4.109445,-0.56,1583.96,-1388.18
4.131886,0.81,1580.49,-1385.05
4.153914,1.30,1577.45,-1382.12
4.176160,2.29,1574.30,-1380.22
4.197374,0.96,1571.30,-1377.52
4.222215,1.92,1567.80,-1381.63
4.243460,0.90,1564.81,-1378.94
4.275873,-1.21,1561.08,-1396.45
4.298637,-4.06,1558.87,-1392.38
4.320978,-6.76,1556.53,-1388.86
4.343679,-6.80,1553.79,-1386.48
4.370060,-7.81,1550.56,-1391.24
4.393085,-8.32,1548.13,-1388.91
4.415196,-5.69,1545.09,-1384.88
4.437724,-1.92,1541.78,-1382.25
4.461736,-1.14,1538.18,-1383.34
4.483738,0.51,1535.18,-1380.43
4.509663,2.18,1531.90,-1384.82
4.531598,3.31,1529.17,-1381.19
4.554559,3.91,1526.27,-1380.52
4.577089,4.64,1523.00,-1379.23
4.598882,5.86,1519.93,-1376.99
4.621994,5.62,1517.10,-1377.87
4.646937,5.69,1513.85,-1381.64
4.672075,6.14,1510.92,-1384.53
4.697234,4.57,1507.55,-1387.03
4.724688,1.20,1503.92,-1393.14
4.747819,-0.02,1501.07,-1389.77
4.769407,0.47,1497.87,-1384.47
4.798249,-0.98,1493.85,-1393.40
4.823047,-1.05,1490.55,-1392.50
4.845306,3.15,1487.52,-1386.34
4.866281,5.40,1484.92,-1379.78
4.887643,5.60,1482.17,-1376.13
4.910500,5.88,1479.59,-1376.14
4.933355,5.09,1476.61,-1376.47
4.965764,4.85,1473.03,-1393.01
4.988346,2.55,1471.02,-1388.71
5.012940,1.69,1468.38,-1388.66
5.035053,0.53,1466.22,-1384.57
5.056508,0.33,1463.52,-1380.20
5.086917,0.96,1460.33,-1392.02
5.109059,0.72,1457.98,-1386.65
5.140191,-0.83,1454.99,-1398.16
5.164137,-0.29,1452.96,-1393.56
5.188323,0.33,1450.83,-1390.57
5.210961,-0.42,1448.86,-1385.86
5.231442,-0.45,1446.38,-1378.88
5.262080,0.42,1443.48,-1390.82
5.284561,1.60,1441.40,-1385.48
5.309776,1.79,1439.06,-1386.12
5.332258,2.63,1437.25,-1381.94
5.353506,2.55,1434.97,-1377.26
5.377120,3.04,1432.53,-1377.83
5.398974,2.07,1430.26,-1375.67
5.421915,2.89,1427.96,-1375.95
5.443966,2.53,1425.70,-1375.20
5.466933,3.06,1423.38,-1376.14
5.490264,2.45,1420.98,-1377.97
