time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.023750,578.00,-1692.58,-500.29
0.048956,470.37,-2873.58,-1118.38
0.072973,-3228.66,-2456.85,-1782.56
0.106127,-2600.87,-2534.91,-2180.96
0.278675,0.00,0.00,0.00
0.300640,-16.96,-1353.17,-797.83
0.373377,1950.30,-2186.31,1276.73
0.399371,1596.08,-2177.60,1413.34
0.423483,1241.14,-2178.94,1338.97
0.447429,1017.37,-2157.42,1209.98
0.471347,818.01,-2133.17,1040.24
0.494487,651.19,-2134.77,873.81
0.518718,519.06,-2113.98,680.56
0.543468,43.39,-2388.77,452.51
1.045231,0.00,0.00,0.00
1.076766,-75.45,-55.24,-259.95
