time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.068154,208.44,-2681.47,-2855.87
0.143547,1137.92,-2753.07,-870.09
0.165692,1024.37,-2631.91,-446.54
0.190643,892.67,-2478.16,-289.24
0.212816,778.83,-2361.78,-198.59
0.234711,647.50,-2255.06,-164.20
0.255809,647.50,-2255.06,-164.20
0.284788,647.50,-2255.06,-164.20
0.309357,647.50,-2255.06,-164.20
0.334265,647.50,-2255.06,-164.20
0.356445,0.00,0.00,0.00
0.376511,77.83,-682.21,-117.14
0.397183,1902.92,-1952.69,-140.70
0.429865,1349.77,-1674.39,-335.08
0.451406,810.61,-1714.50,-543.26
0.477841,615.87,-1633.79,-767.55
0.501523,491.01,-1599.97,-983.48
0.524243,365.59,-1587.78,-1195.12
0.546225,38.17,-1706.47,-1485.46
0.576045,-145.40,-1728.63,-1802.43
0.605804,-223.37,-1693.90,-2073.86
0.656532,-21.69,-1604.56,-2535.91
0.702617,-72.50,-1646.22,-3035.92
0.776918,-120.24,-1556.69,-3402.29
0.799005,-120.24,-1556.69,-3402.29
0.830082,-120.24,-1556.69,-3402.29
0.854243,0.00,0.00,0.00
0.881657,177.32,-387.45,93.23
0.907260,-189.37,-910.16,272.12
0.929888,-1044.45,-1736.57,262.66
0.959569,-1128.15,-1691.41,65.55
1.389639,0.00,0.00,0.00
