time_s,corr_x,corr_y,corr_z
0.000000,347.37,2258.65,-645.27
0.027242,70.44,2279.95,-768.35
0.054055,83.36,2180.97,-826.09
0.079199,87.17,2088.70,-893.30
0.102102,80.21,2002.72,-966.72
0.124870,80.04,1916.00,-1040.40
0.179283,268.53,1682.19,-1094.83
0.205336,260.93,1629.54,-1028.26
0.230994,261.04,1578.07,-969.78
0.254376,117.37,1513.26,-930.49
0.278114,122.72,1456.68,-877.71
0.299903,113.91,1402.76,-835.54
0.324856,109.55,1354.31,-805.04
0.348207,132.51,1298.32,-757.59
0.371753,261.12,1232.63,-701.49
0.400640,266.92,1187.59,-681.78
0.435795,126.02,1087.32,-684.92
0.463138,130.61,1038.77,-680.69
0.486010,270.78,998.38,-662.31
0.515462,247.41,949.40,-671.29
0.540680,131.81,840.77,-709.12
0.572421,136.82,793.37,-727.82
0.595599,263.12,779.33,-744.09
0.624915,259.70,733.86,-774.63
0.651406,161.81,622.27,-852.60
0.680000,155.25,579.09,-897.49
0.738853,240.72,524.34,-996.41
0.763233,165.62,423.57,-1112.11
0.790090,161.27,380.73,-1165.85
0.814918,154.93,341.85,-1112.96
0.837738,259.83,362.36,-992.11
