time_s,corr_x,corr_y,corr_z
0.000000,41.55,2507.39,-415.64
0.025483,140.35,2339.95,-456.30
0.049738,117.04,2235.73,-502.86
0.075707,121.88,2120.54,-550.84
0.099072,388.25,1869.12,-605.13
0.122441,374.90,1785.03,-654.63
0.145293,107.79,1693.84,-791.34
0.177551,143.02,1591.14,-849.12
0.200004,115.91,1491.63,-929.53
0.224144,115.80,1392.32,-1008.71
0.273394,332.68,1195.40,-1105.52
0.324326,133.50,989.58,-1022.77
0.353326,122.73,916.44,-964.72
0.376861,120.04,848.51,-910.59
0.401417,121.38,785.74,-862.37
0.423986,122.27,722.11,-825.43
0.448497,125.23,660.11,-784.21
0.471968,102.00,584.92,-759.88
0.495405,287.65,596.72,-696.21
0.522219,261.79,530.59,-686.82
0.545148,93.75,344.49,-700.33
0.576009,77.41,277.11,-701.60
