time_s,corr_x,corr_y,corr_z
0.000000,422.99,2198.25,-349.85
0.023750,455.60,2102.73,-383.47
0.048956,461.60,2017.28,-418.96
0.072973,228.35,1985.96,-485.83
0.106127,249.04,1889.39,-538.25
0.278675,294.25,1189.09,-1109.43
0.300640,293.28,1111.55,-1182.32
0.373377,454.28,953.81,-904.34
0.399371,450.16,900.74,-856.68
0.423483,441.41,847.57,-813.40
0.447429,452.21,800.23,-770.93
0.471347,451.54,752.33,-739.30
0.494487,450.57,698.97,-705.33
0.518718,452.66,654.29,-681.88
0.543468,323.73,500.55,-675.68
1.045231,-329.39,102.49,-84.61
1.076766,-333.62,99.39,-84.52
