time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.033488,-524.47,-822.76,-46.23
0.055417,-2973.32,-1303.41,378.43
0.077919,-2481.40,-1751.16,819.63
0.104458,-1646.81,-1908.10,1039.18
0.128534,-1098.54,-2015.67,1118.68
0.151801,-875.63,-2069.97,1102.23
0.173658,-875.63,-2069.97,1102.23
0.200017,-875.63,-2069.97,1102.23
0.221611,-875.63,-2069.97,1102.23
0.242259,-875.63,-2069.97,1102.23
0.264308,-875.63,-2069.97,1102.23
0.289192,0.00,0.00,0.00
0.311127,-244.16,-807.01,-155.61
0.332454,60.70,-1587.87,-254.68
0.353650,63.57,-1894.72,-383.76
0.384447,12.91,-1815.89,-611.05
0.405922,-91.10,-1847.77,-796.96
0.426975,-91.10,-1847.77,-796.96
0.455159,-103.49,-2079.87,-1343.33
0.487591,-71.76,-2024.76,-1631.68
0.508300,-55.60,-2010.10,-1833.34
0.538965,-51.67,-1935.18,-2093.18
0.571870,-48.34,-1831.59,-2344.91
0.596708,-288.39,-1922.10,-2610.06
0.624012,-196.69,-1883.63,-2871.90
0.671767,-109.15,-1807.86,-3285.40
0.695008,-11.47,-1711.99,-3316.74
0.718617,-11.47,-1711.99,-3316.74
0.743314,0.00,0.00,0.00
0.764351,-206.86,-663.37,121.30
0.792208,-179.77,-1068.07,500.45
0.812918,-82.21,-1200.60,678.02
0.834879,-610.03,-1578.97,598.76
