time_s,raw_x,raw_y,raw_z
0.000000,20.67,2524.82,-628.63
0.033781,85.76,2389.31,-684.88
0.057535,101.98,2277.77,-755.33
0.084541,139.33,2157.41,-824.24
0.204115,396.65,1631.57,-960.49
0.225897,268.85,1567.42,-922.74
0.257454,290.27,1508.01,-862.21
0.279822,296.81,1447.80,-812.42
0.305158,297.82,1389.70,-771.54
0.327587,308.02,1333.04,-733.03
0.350130,468.68,1260.82,-655.72
0.379865,471.31,1211.24,-637.16
0.403057,356.59,1109.26,-635.46
0.435294,363.36,1053.63,-627.02
0.457995,358.45,997.30,-625.02
0.484934,384.60,948.21,-623.76
0.517727,517.09,914.63,-613.89
0.546055,522.69,865.51,-628.04
0.571064,412.56,735.07,-682.79
0.595212,437.90,694.11,-706.19
0.619686,456.88,652.02,-733.07
0.642881,552.74,633.46,-766.23
