time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.033866,-4807.81,193.92,-544.64
0.056673,-3347.11,-1663.46,-1057.58
0.079933,-3347.11,-1663.46,-1057.58
0.109799,-3347.11,-1663.46,-1057.58
0.132586,-3347.11,-1663.46,-1057.58
0.177065,0.00,0.00,0.00
0.198646,-4132.76,-1758.71,-1292.46
0.228194,-1802.66,-2771.55,-2659.82
0.301718,-433.46,-3199.61,-3751.51
0.328591,864.77,-3171.01,-3685.08
0.380956,144.71,-3239.33,-3114.57
0.405701,-47.50,-3161.29,-2667.98
0.428479,0.00,0.00,0.00
0.453121,228.39,-857.82,200.29
0.476643,-94.26,-1860.09,656.94
0.499535,-220.49,-2233.99,871.33
0.522283,-45.30,-2251.35,871.04
0.544289,1172.38,-1889.83,932.34
0.573352,1394.53,-1697.67,738.97
0.595908,1261.30,-1702.59,540.29
0.619115,1089.90,-1729.65,309.89
0.640904,907.41,-1784.74,83.23
