time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.028204,824.51,-2058.38,257.37
0.050592,-4662.09,-2166.28,842.15
0.083657,-3330.23,-2735.68,988.72
0.106387,-289.31,-4294.07,1020.31
0.137303,564.28,-4418.46,801.18
0.158958,772.58,-4441.86,628.41
0.181146,778.63,-4411.26,431.83
0.202990,719.65,-4361.79,226.81
0.228767,-108.10,-4476.26,21.01
0.264135,-568.20,-4366.71,-295.55
0.295641,-173.76,-4141.69,-617.60
0.321916,52.53,-3958.33,-881.68
0.346470,-328.40,-4127.35,-1126.22
0.375624,-555.12,-4157.42,-1410.25
0.400153,-162.55,-3953.12,-1665.21
0.686399,0.00,0.00,0.00
0.718453,-10.04,-78.27,-332.38
0.936432,0.00,0.00,0.00
0.958970,81.89,118.31,-151.46
0.981428,410.46,457.29,-245.59
1.004444,75.44,255.03,-281.55
1.059317,-465.51,7.13,-381.23
