time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.047023,-533.83,-2662.44,-1973.22
0.135290,-533.83,-2662.44,-1973.22
0.159612,-533.83,-2662.44,-1973.22
0.180802,0.00,0.00,0.00
0.209537,9.49,-1255.10,406.07
0.230570,-210.85,-2209.86,1089.41
0.257321,2846.14,-3470.70,1780.69
0.286278,2976.68,-3373.38,1791.21
0.306833,2524.05,-3260.34,1700.55
0.332792,1704.08,-2996.76,1443.19
0.354117,1395.22,-2911.59,1230.68
0.375602,1100.78,-2842.62,1003.59
0.398882,858.10,-2773.18,753.47
0.419165,710.94,-2735.76,540.37
0.454447,484.13,-2590.70,171.01
0.475861,325.88,-2503.81,-54.25
0.496790,231.97,-2450.03,-270.50
0.518526,-375.33,-2531.04,-510.35
0.547278,-798.33,-2550.78,-810.71
0.570408,-1014.16,-2549.85,-1052.69
0.595648,-606.94,-2487.14,-1306.21
0.622418,-395.69,-2421.31,-1570.15
0.644305,-190.58,-2352.78,-1784.67
0.666294,-77.00,-2301.85,-1999.81
0.689170,-4.14,-2249.96,-2219.06
0.711823,46.35,-2202.52,-2434.42
0.735172,91.96,-2144.02,-2651.38
0.777844,37.12,-2092.68,-3063.36
0.801185,14.00,-2031.17,-3276.63
0.823785,2.73,-1980.84,-3468.94
0.848438,-10.66,-1909.43,-3573.56
0.870234,-10.04,-1835.78,-3568.41
0.893484,0.00,0.00,0.00
0.914111,-2559.38,-1986.24,131.10
0.945737,-1302.84,-1679.28,539.63
0.968292,-1109.93,-1695.85,706.73
0.989637,-538.14,-1516.89,772.06
1.011760,-407.85,-1518.21,701.33
1.057834,432.88,-1212.34,447.54
1.086708,612.02,-1107.30,230.03
1.358206,0.00,0.00,0.00
1.380846,-2266.74,-2316.51,-1100.57
