time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.033186,175.56,-1669.37,-900.08
0.056459,69.80,-2641.99,-1763.80
0.081100,229.69,-3164.16,-2408.19
0.104177,196.86,-3312.73,-2851.03
0.208612,397.69,-3404.18,-2913.21
0.256474,357.45,-3127.05,-2455.17
0.278311,285.26,-2996.62,-2162.05
0.305747,0.00,0.00,0.00
0.328398,-44.63,-843.66,152.73
0.350350,2719.73,-2259.28,921.68
0.377529,2052.83,-2153.62,1099.13
0.399356,1470.77,-2095.65,1030.27
0.429885,997.64,-1912.97,737.24
0.455442,14.27,-2042.84,436.30
0.480069,-327.56,-2071.69,163.06
0.514866,-452.44,-1982.89,-193.95
0.542098,-116.16,-1904.57,-442.96
0.567710,-204.24,-1982.39,-717.44
0.595234,-260.43,-1997.83,-998.82
0.620366,-24.32,-1951.45,-1243.06
0.645204,132.66,-1896.00,-1480.14
0.668660,215.91,-1853.21,-1705.91
0.692501,14.80,-1954.40,-1981.30
0.721248,-107.66,-1977.80,-2279.14
0.744420,-160.16,-1971.86,-2515.19
0.769117,-171.34,-1937.42,-2756.18
0.792141,-169.85,-1889.44,-2973.45
0.815255,-168.25,-1851.02,-3197.03
0.863925,73.77,-1636.61,-3382.17
0.892147,228.67,-1442.79,-3299.25
0.915844,0.00,0.00,0.00
