time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.021620,304.33,-2298.37,-1089.50
0.093083,304.33,-2298.37,-1089.50
0.121613,304.33,-2298.37,-1089.50
0.144555,0.00,0.00,0.00
0.171789,31.16,-1121.55,200.65
0.193837,115.58,-2170.89,664.33
0.215659,350.42,-2660.41,921.68
0.237066,-1617.15,-3127.89,996.21
0.268613,-1522.93,-3046.42,812.21
0.290176,-1273.72,-3045.69,679.03
0.311719,-1033.34,-3072.38,515.10
0.333197,-862.80,-3106.39,333.00
0.354851,-617.59,-3124.62,139.29
0.381260,-394.59,-3094.31,-108.62
0.403402,-280.39,-3085.54,-320.40
0.425021,274.96,-3009.02,-533.68
0.456734,662.01,-2856.80,-838.70
0.478420,866.12,-2762.68,-1050.50
0.500038,969.06,-2690.54,-1262.21
0.522171,1037.15,-2615.80,-1477.15
0.543810,1013.13,-2578.00,-1691.88
0.571937,947.12,-2504.24,-1958.10
0.595257,865.47,-2440.44,-2177.28
