time_s,corr_x,corr_y,corr_z
0.000000,439.46,2209.03,-598.95
0.028204,485.39,2094.34,-546.57
0.050592,239.41,2054.21,-488.07
0.083657,236.26,1944.20,-444.00
0.106387,469.34,1722.15,-402.08
0.137303,464.42,1632.93,-378.00
0.158958,467.64,1539.94,-360.76
0.181146,465.40,1451.30,-348.29
0.202990,464.26,1365.22,-341.97
0.228767,222.62,1206.66,-317.94
0.264135,231.02,1107.91,-322.56
0.295641,443.98,1028.19,-356.26
0.321916,441.94,941.56,-374.88
0.346470,234.10,731.68,-399.25
0.375624,233.21,643.74,-432.42
0.400153,443.55,635.30,-484.65
0.686399,-287.64,111.53,-104.52
0.718453,-288.20,107.13,-111.35
0.936432,-322.90,76.71,-114.06
0.958970,-318.23,83.45,-108.26
0.981428,-302.68,100.03,-106.19
1.004444,-316.88,95.00,-97.57
1.059317,-363.77,86.41,-68.83
