time_s,raw_x,raw_y,raw_z
0.000000,197.63,2352.89,-712.75
0.023758,193.26,2279.11,-785.42
0.051007,211.03,2200.28,-853.19
0.078301,221.89,2125.13,-924.69
0.104953,199.30,2063.98,-1019.66
0.131617,203.96,1992.85,-1094.98
0.155378,216.24,1896.50,-958.56
0.181781,218.07,1851.21,-895.04
0.207842,219.28,1807.53,-837.54
0.229954,232.37,1760.18,-783.22
0.252530,232.64,1717.54,-737.96
0.275325,225.59,1673.23,-697.37
0.297803,228.95,1631.54,-664.06
0.319475,242.95,1586.01,-631.28
0.342447,247.82,1543.07,-606.89
0.366513,254.91,1498.82,-586.38
0.398196,242.09,1453.97,-574.70
0.419551,247.01,1369.67,-563.93
0.449680,260.40,1329.38,-563.21
0.475245,271.82,1290.92,-567.49
0.499458,263.18,1245.86,-579.71
0.523912,279.43,1210.07,-592.90
0.547959,277.05,1167.27,-616.19
0.571958,283.16,1128.44,-638.95
0.629387,286.63,1010.18,-747.13
0.652540,290.13,974.64,-787.67
0.675271,293.93,938.18,-836.02
0.699596,293.76,901.74,-888.38
0.721648,302.42,866.29,-945.01
0.744957,304.43,832.27,-1006.30
0.769058,307.03,799.70,-1070.20
0.794692,312.95,768.71,-1071.87
0.819773,318.97,738.75,-1017.72
0.844127,322.14,707.36,-961.23
0.868459,321.37,642.88,-879.76
0.892042,337.93,618.65,-838.96
0.915377,336.38,586.39,-813.60
0.938586,339.50,555.58,-785.13
