time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.132752,0.00,0.00,0.00
0.154843,48.70,-968.88,381.95
0.189083,113.71,-1534.93,1051.01
0.213914,129.36,-2435.48,1719.87
0.243422,185.01,-2440.82,1732.52
0.268744,179.52,-2370.02,1591.94
0.290463,179.52,-2370.02,1591.94
0.321349,179.52,-2370.02,1591.94
0.342176,-595.57,-2390.60,907.12
0.370880,-634.82,-2335.55,637.65
0.393509,-635.97,-2328.58,423.98
0.414739,-560.14,-2329.80,227.51
0.440912,-560.14,-2329.80,227.51
0.470292,-560.14,-2329.80,227.51
0.494401,-560.14,-2329.80,227.51
0.526815,-27.51,-2324.01,-835.54
0.549383,-27.51,-2324.01,-835.54
0.578284,-27.51,-2324.01,-835.54
0.599661,-27.51,-2324.01,-835.54
0.621665,-27.51,-2324.01,-835.54
0.644399,874.83,-2018.62,-1928.19
0.665924,969.95,-1959.19,-2113.78
0.691040,933.12,-1927.15,-2335.52
0.712548,844.78,-1921.50,-2535.03
0.906524,0.00,0.00,0.00
