time_s,kf_x,kf_y,kf_z
0.000000,109.21,2448.59,-539.01
0.024950,114.74,2378.51,-563.56
0.051638,-97.37,2386.38,-655.75
0.080260,-165.53,2328.08,-755.29
0.102654,-175.47,2255.60,-836.44
0.126842,-174.37,2173.42,-924.25
0.149516,-173.41,2094.17,-1010.50
0.199185,-47.01,1883.43,-1158.73
0.221404,22.98,1794.41,-1166.90
0.247528,64.10,1716.74,-1164.83
0.270055,108.54,1683.59,-910.48
0.296169,105.07,1645.40,-888.93
0.322283,-2.88,1595.77,-845.42
0.347063,-45.18,1544.85,-798.25
0.369327,-47.86,1500.91,-756.86
0.395003,18.26,1435.31,-705.31
0.432212,64.26,1369.45,-661.09
0.458143,23.18,1313.72,-640.42
0.481847,-2.11,1264.31,-628.31
0.503173,36.42,1217.22,-616.84
0.536414,63.11,1156.77,-613.53
0.562739,34.94,1096.40,-623.18
0.597886,14.96,1030.72,-643.51
0.621005,49.12,993.43,-661.79
0.649158,74.53,948.94,-690.18
0.673520,57.30,894.58,-728.69
0.703609,38.63,835.33,-779.62
0.728238,25.09,788.11,-828.57
0.750528,17.65,748.55,-876.07
0.773981,11.92,708.03,-930.43
0.799291,42.41,675.32,-992.75
0.825835,66.11,641.34,-1063.08
0.851352,58.00,591.42,-1146.41
0.881770,51.74,543.73,-1218.91
0.904976,72.96,520.84,-1236.28
0.937719,108.14,526.68,-952.56
1.014507,22.99,392.77,-873.02
1.249289,205.96,666.70,-810.35
1.278903,215.51,704.98,-824.30
1.301838,212.58,739.81,-854.81
1.327831,220.15,784.24,-894.65
1.352183,226.44,826.16,-934.00
1.374837,166.28,855.32,-1007.90
1.399767,137.34,893.49,-1078.24
1.447747,145.21,977.24,-1184.26
1.470389,153.27,1011.93,-1190.38
1.493008,162.86,1044.73,-1184.15
1.515870,194.65,1065.58,-1012.74
1.537598,259.81,1113.18,-984.87
1.570530,280.36,1144.63,-939.66
1.592277,241.22,1169.94,-917.77
1.623877,222.05,1199.13,-900.28
1.647340,221.17,1223.73,-891.33
1.670650,224.15,1248.09,-888.13
1.693455,231.60,1273.09,-888.85
1.716151,237.85,1298.88,-895.41
1.738896,245.36,1325.16,-906.64
1.761471,273.92,1356.22,-919.16
1.790662,300.55,1390.59,-943.04
1.814092,322.40,1417.27,-967.30
1.836622,340.32,1442.13,-995.32
1.859345,353.28,1466.85,-1029.63
1.884888,348.15,1498.36,-1084.95
1.911751,346.50,1529.18,-1146.99
1.938074,350.43,1553.95,-1191.44
1.964971,350.86,1574.87,-1221.41
1.990875,379.98,1572.97,-1022.21
2.018819,384.75,1583.77,-1010.06
2.040907,367.86,1603.62,-991.78
2.063920,364.98,1619.64,-973.13
2.088392,366.15,1634.10,-959.62
2.111378,370.80,1646.89,-951.04
2.135709,375.89,1659.42,-948.36
2.157531,379.33,1672.07,-951.70
2.181335,383.07,1685.51,-960.25
2.205170,387.35,1697.98,-973.47
2.227601,403.76,1709.54,-989.83
2.254396,417.23,1722.47,-1016.52
2.278928,426.18,1735.31,-1046.98
2.302954,435.47,1746.34,-1080.60
2.326568,442.70,1757.22,-1118.67
2.349161,450.48,1768.41,-1158.40
2.371693,454.54,1779.92,-1192.64
2.393334,448.55,1795.09,-1224.61
2.424217,445.45,1811.96,-1269.22
2.447406,449.11,1822.91,-1291.19
2.480080,455.49,1836.21,-1329.72
2.502993,459.82,1844.09,-1341.92
2.527433,462.08,1853.66,-1357.11
2.551612,467.05,1862.32,-1368.63
2.575530,466.00,1874.59,-1379.99
2.599814,465.57,1886.19,-1390.75
2.621841,465.89,1896.72,-1395.10
2.650975,464.15,1911.26,-1414.76
2.673458,472.87,1921.75,-1413.11
2.703309,482.50,1933.59,-1426.14
2.726227,489.84,1942.69,-1421.30
2.756097,497.98,1953.34,-1430.17
2.780084,491.67,1969.05,-1428.61
2.804437,488.20,1984.65,-1427.44
2.828699,487.91,1998.12,-1425.64
2.854160,497.70,2008.83,-1423.22
2.884055,507.63,2019.43,-1428.04
2.912761,506.75,2035.48,-1431.14
2.939165,506.40,2049.52,-1428.21
2.961612,513.42,2059.43,-1416.19
2.991574,521.61,2071.41,-1419.29
3.014092,526.18,2081.02,-1408.12
3.037110,530.47,2090.52,-1400.15
3.060077,535.24,2099.71,-1393.46
3.084345,531.39,2116.31,-1393.46
3.111336,529.96,2132.30,-1397.52
3.133721,530.92,2144.60,-1392.35
3.159802,531.40,2158.12,-1395.09
3.182888,530.81,2170.42,-1392.59
3.207207,532.46,2181.88,-1392.54
3.231141,532.86,2193.62,-1392.56
3.255065,544.90,2200.00,-1388.90
3.279465,556.26,2206.44,-1386.45
3.304339,568.16,2212.45,-1384.23
3.328257,577.72,2218.93,-1380.77
3.351349,586.36,2225.23,-1376.22
3.374283,588.33,2237.81,-1374.33
3.399583,589.21,2251.36,-1377.09
3.423163,587.44,2264.92,-1377.77
3.448534,585.20,2278.51,-1381.96
