time_s,raw_x,raw_y,raw_z
0.000000,-66.78,2518.38,-48.57
0.034769,-105.54,2435.31,-68.06
0.056715,171.04,2155.75,-155.29
0.083364,168.20,2076.16,-183.88
0.106264,-109.63,2049.67,-204.77
0.137555,-85.52,1949.06,-252.18
0.161434,-70.00,1854.40,-299.53
0.184090,197.76,1671.61,-385.23
0.209851,199.92,1595.39,-435.66
0.231522,203.48,1517.33,-492.15
0.258725,205.16,1442.85,-549.52
0.281227,198.08,1364.14,-616.70
0.305822,224.71,1296.45,-672.36
0.352382,20.07,1069.96,-915.34
0.450113,69.60,793.94,-1033.59
0.473659,82.06,743.64,-957.38
0.498202,76.73,685.08,-893.67
0.522962,256.87,687.91,-765.06
0.545660,245.14,635.77,-726.59
0.568078,256.92,591.72,-683.49
0.590529,262.22,549.60,-648.36
0.613531,255.85,494.44,-620.20
0.637350,100.27,324.11,-605.21
