time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.022008,0.00,0.00,0.00
0.054291,0.00,0.00,0.00
0.076133,0.00,0.00,0.00
0.100508,0.00,0.00,0.00
0.145863,0.00,0.00,0.00
0.175863,239.50,-1211.97,403.51
0.197487,411.60,-2093.67,965.46
0.216524,321.72,-2597.23,1291.45
0.239940,202.35,-2644.06,1342.20
0.260895,89.44,-2667.72,1291.90
0.287162,-67.37,-2583.49,1091.20
0.308679,-86.02,-2579.78,914.16
0.329405,-36.91,-2589.85,743.50
0.352011,0.94,-2578.85,538.06
0.372624,-29.09,-2586.05,343.39
0.400892,-6.99,-2530.27,70.94
0.421034,-451.03,-2610.40,-159.34
0.451272,-736.42,-2613.46,-477.21
0.471806,-876.08,-2627.75,-695.94
0.500499,-870.03,-2586.24,-977.52
0.521542,-847.47,-2562.23,-1188.41
0.542298,-780.73,-2553.16,-1397.00
0.566084,-686.42,-2524.79,-1629.36
0.588708,-574.76,-2489.01,-1847.79
0.612332,-161.96,-2418.32,-2073.80
0.640843,177.26,-2297.40,-2328.51
0.662588,388.00,-2207.41,-2520.17
0.689726,507.36,-2107.72,-2756.49
0.712261,575.57,-2025.86,-2951.55
0.735627,593.62,-1956.18,-3127.41
0.757779,270.09,-2092.90,-3212.24
0.789895,35.33,-2118.34,-3286.07
0.834383,0.00,0.00,0.00
0.864551,-133.56,-746.12,-12.96
0.885521,-325.88,-1513.15,118.23
0.913002,160.31,-1353.49,153.71
0.933320,-1098.24,-2478.27,-4.45
0.964052,-1231.79,-2538.10,-251.08
0.986416,-1028.97,-2411.51,-407.56
1.012646,-398.30,-2049.82,-565.82
