sample_id,label,trajectory_file,updated_at
1,ok,sample_000001_20260405_002848832_trajectory.csv,2026-04-05T15:08:34
2,ok,sample_000002_20260405_002852236_trajectory.csv,2026-04-05T15:08:34
3,bad,sample_000003_20260405_002855898_trajectory.csv,2026-04-05T15:08:34
4,bad,sample_000004_20260405_002900452_trajectory.csv,2026-04-05T15:08:34
5,bad,sample_000005_20260405_002903398_trajectory.csv,2026-04-05T15:08:34
6,bad,sample_000006_20260405_002905318_trajectory.csv,2026-04-05T15:08:34
7,ok,sample_000007_20260405_002908679_trajectory.csv,2026-04-05T15:08:34
8,good,sample_000008_20260405_002912543_trajectory.csv,2026-04-05T15:08:34
9,ok,sample_000009_20260405_002915969_trajectory.csv,2026-04-05T15:08:34
10,ok,sample_000010_20260405_002918267_trajectory.csv,2026-04-05T15:08:34
11,ok,sample_000011_20260405_003102955_trajectory.csv,2026-04-05T15:08:34
12,bad,sample_000012_20260405_003105738_trajectory.csv,2026-04-05T15:08:34
13,bad,sample_000013_20260405_003108940_trajectory.csv,2026-04-05T15:08:34
14,bad,sample_000014_20260405_003112217_trajectory.csv,2026-04-05T15:08:34
15,bad,sample_000015_20260405_003115277_trajectory.csv,2026-04-05T15:08:34
16,good,sample_000016_20260405_003119178_trajectory.csv,2026-04-05T15:08:34
17,bad,sample_000017_20260405_003121466_trajectory.csv,2026-04-05T15:08:34
18,good,sample_000018_20260405_003123698_trajectory.csv,2026-04-05T15:08:34
19,ok,sample_000019_20260405_003127498_trajectory.csv,2026-04-05T15:08:34
20,bad,sample_000020_20260405_003130331_trajectory.csv,2026-04-05T15:08:34
21,bad,sample_000021_20260405_003134052_trajectory.csv,2026-04-05T15:08:34
22,ok,sample_000022_20260405_003137527_trajectory.csv,2026-04-05T15:08:34
23,bad,sample_000023_20260405_003142987_trajectory.csv,2026-04-05T15:08:34
24,bad,sample_000024_20260405_003145851_trajectory.csv,2026-04-05T15:08:34
25,bad,sample_000025_20260405_003150040_trajectory.csv,2026-04-05T15:08:34
26,ok,sample_000026_20260405_003154472_trajectory.csv,2026-04-05T15:08:34
27,ok,sample_000027_20260405_003157761_trajectory.csv,2026-04-05T15:08:34
28,ok,sample_000028_20260405_003202365_trajectory.csv,2026-04-05T15:08:34
29,good,sample_000029_20260405_003203600_trajectory.csv,2026-04-05T15:08:34
30,bad,sample_000030_20260405_003206885_trajectory.csv,2026-04-05T15:08:34
31,ok,sample_000031_20260405_003211452_trajectory.csv,2026-04-05T15:08:34
32,bad,sample_000032_20260405_003213800_trajectory.csv,2026-04-05T15:08:34
33,bad,sample_000033_20260405_003217570_trajectory.csv,2026-04-05T15:08:34
34,bad,sample_000034_20260405_003222156_trajectory.csv,2026-04-05T15:08:34
35,ok,sample_000035_20260405_003225965_trajectory.csv,2026-04-05T15:08:34
36,ok,sample_000036_20260405_003229253_trajectory.csv,2026-04-05T15:08:34
37,ok,sample_000037_20260405_003232125_trajectory.csv,2026-04-05T15:08:34
38,ok,sample_000038_20260405_003235084_trajectory.csv,2026-04-05T15:08:34
39,bad,sample_000039_20260405_003239901_trajectory.csv,2026-04-05T15:08:34
40,bad,sample_000040_20260405_003241774_trajectory.csv,2026-04-05T15:08:34
41,good,sample_000041_20260405_003749253_trajectory.csv,2026-04-05T15:08:34
42,ok,sample_000042_20260405_003751117_trajectory.csv,2026-04-05T15:08:34
43,ok,sample_000043_20260405_003755410_trajectory.csv,2026-04-05T15:08:34
44,bad,sample_000044_20260405_003758164_trajectory.csv,2026-04-05T15:08:34
45,bad,sample_000045_20260405_003800517_trajectory.csv,2026-04-05T15:08:34
46,bad,sample_000046_20260405_003803317_trajectory.csv,2026-04-05T15:08:34
47,bad,sample_000047_20260405_003805441_trajectory.csv,2026-04-05T15:08:34
48,bad,sample_000048_20260405_003807990_trajectory.csv,2026-04-05T15:08:34
49,bad,sample_000049_20260405_003808900_trajectory.csv,2026-04-05T15:08:34
50,ok,sample_000050_20260405_003810517_trajectory.csv,2026-04-05T15:08:34
51,good,sample_000051_20260405_003814937_trajectory.csv,2026-04-05T15:08:34
52,ok,sample_000052_20260405_003817252_trajectory.csv,2026-04-05T15:08:34
53,ok,sample_000053_20260405_003821089_trajectory.csv,2026-04-05T15:08:34
54,good,sample_000054_20260405_003823989_trajectory.csv,2026-04-05T15:08:34
55,ok,sample_000055_20260405_003828933_trajectory.csv,2026-04-05T15:08:34
56,good,sample_000056_20260405_003832421_trajectory.csv,2026-04-05T15:08:34
57,bad,sample_000057_20260405_003835142_trajectory.csv,2026-04-05T15:08:34
58,ok,sample_000058_20260405_003839473_trajectory.csv,2026-04-05T15:08:34
59,ok,sample_000059_20260405_003841542_trajectory.csv,2026-04-05T15:08:34
60,good,sample_000060_20260405_003844101_trajectory.csv,2026-04-05T15:08:34
61,good,sample_000061_20260405_003846902_trajectory.csv,2026-04-05T15:08:34
62,bad,sample_000062_20260405_003849800_trajectory.csv,2026-04-05T15:08:34
63,good,sample_000063_20260405_003854151_trajectory.csv,2026-04-05T15:08:34
64,ok,sample_000064_20260405_003857238_trajectory.csv,2026-04-05T15:08:34
65,bad,sample_000065_20260405_003901473_trajectory.csv,2026-04-05T15:08:34
66,good,sample_000066_20260405_003905114_trajectory.csv,2026-04-05T15:08:34
67,bad,sample_000067_20260405_003908727_trajectory.csv,2026-04-05T15:08:34
68,good,sample_000068_20260405_003911734_trajectory.csv,2026-04-05T15:08:34
69,bad,sample_000069_20260405_003913863_trajectory.csv,2026-04-05T15:08:34
70,good,sample_000070_20260405_003916612_trajectory.csv,2026-04-05T15:08:34
71,good,sample_000071_20260405_003919271_trajectory.csv,2026-04-05T15:08:34
72,bad,sample_000072_20260405_003922006_trajectory.csv,2026-04-05T15:08:34
73,bad,sample_000073_20260405_003923959_trajectory.csv,2026-04-05T15:08:34
74,bad,sample_000074_20260405_003927238_trajectory.csv,2026-04-05T15:08:34
75,bad,sample_000075_20260405_003929781_trajectory.csv,2026-04-05T15:08:34
76,ok,sample_000076_20260405_003933427_trajectory.csv,2026-04-05T15:08:34
77,bad,sample_000077_20260405_003937757_trajectory.csv,2026-04-05T15:08:34
